,Macro-economic aggregates,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 39
1,Year,GROSS DOMESTIC PRODUCT (GDP),"AGRICULTURE, FORESTRY & FISHING",Food crops,Export crops,Livestock & livestock products,Forestry,Fishing,INDUSTRY,Mining & quarrying,TOTAL MANUFACTURING,Of which: Food,              Beverages & tobacco,"             Textiles, clothing & leather goods",             Wood & paper; printing,"             Chemicals, rubber & plastic products",             Non-metallic mineral products,"             Metal products, machinery & equipment",             Furniture & other manufacturing ,Electricity,Water & waste management,Construction,SERVICES,TRADE &TRANSPORT,Maintenance and repair of motor vehicles,Wholesale & retail trade,Transport services,OTHER SERVICES,Hotels & restaurants,Information & communication,Financial services,Real estate activities,"Professional, scientific and technical activities",Administrative and support service activities,Public administration and defence; compulsory social security,Education,Human health and social work activities,"Cultural, domestic & other services",TAXES LESS SUBSIDIES ON PRODUCTS
2,1999,720,227,194,6,16,8,3,132,1,74,7,25,19,2,5,6,3,8,13,13,31,302,62,3,42,17,240,8,9,16,77,20,26,54,8,16,5,59
3,2000,806,251,217,7,16,8,3,136,1,78,8,23,23,2,5,6,3,8,12,12,33,357,70,3,46,22,287,8,11,21,82,21,28,58,13,17,28,62
4,2001,871,277,238,8,18,10,3,143,6,79,10,24,22,2,5,6,3,8,11,11,37,378,78,4,50,25,300,8,13,20,85,22,29,62,13,18,29,73
5,2002,935,282,238,7,21,13,3,153,2,91,10,30,26,3,7,6,3,8,11,11,38,415,90,4,56,30,325,12,16,20,88,22,30,63,17,21,36,84
6,2003,1150,380,332,7,22,15,4,164,3,102,14,28,30,4,8,6,3,9,7,7,46,502,107,5,68,34,395,19,18,27,104,26,36,71,18,27,49,103
7,2004,1372,465,396,13,26,26,5,200,8,121,22,30,36,5,10,7,3,9,4,4,62,583,133,6,85,42,449,25,22,34,111,28,38,77,22,30,61,124
8,2005,1637,553,467,18,27,35,5,245,10,143,29,34,43,8,12,6,3,8,9,9,73,696,165,7,106,52,531,38,27,37,123,31,42,84,31,30,88,143
9,2006,1832,550,272,57,50,164,7,290,18,165,35,36,50,10,14,7,4,10,11,9,87,828,207,9,131,67,621,49,34,45,134,34,46,97,40,33,110,164
10,2007,2226,580,311,41,53,169,7,373,35,181,36,39,55,11,15,8,5,12,26,21,110,1073,259,12,164,84,814,59,44,53,203,52,70,110,50,43,130,200
11,2008,2833,702,350,55,67,220,10,461,41,225,48,52,63,12,17,9,6,16,17,14,163,1397,376,17,245,114,1020,71,59,59,280,71,96,127,58,53,146,273
12,2009,3225,818,437,53,80,236,11,506,27,257,60,72,62,13,17,10,6,17,20,16,186,1596,417,19,267,131,1180,75,67,59,341,87,116,147,74,64,148,305
13,2010,3571,868,457,64,84,250,13,583,37,295,69,78,68,16,19,12,9,24,23,19,209,1781,475,21,302,152,1306,84,77,75,356,90,122,174,90,76,162,338
14,2011,4133,985,534,67,94,274,16,751,83,346,82,84,81,15,24,15,13,33,27,22,273,1979,540,24,344,171,1440,90,86,94,374,95,128,211,112,79,170,417
15,2012,4702,1165,652,86,106,303,18,857,78,389,90,98,87,18,26,17,16,37,35,24,331,2297,649,27,408,213,1648,96,108,121,371,107,145,268,138,100,195,384
16,2013,5057,1260,739,68,117,315,21,891,100,345,96,108,20,20,27,18,14,41,41,25,380,2518,699,29,435,235,1819,100,107,144,367,116,156,303,185,114,226,387
17,2014,5623,1388,823,87,129,327,22,987,119,383,105,122,22,21,26,22,18,47,45,26,414,2767,754,31,482,242,2013,119,118,145,401,109,183,332,204,130,271,480
18,2015,6150,1475,874,89,144,343,25,1073,106,420,108,131,22,25,29,25,25,55,55,28,464,3059,824,33,528,263,2235,134,135,159,430,128,218,359,208,134,330,543
19,2016,6845,1722,1065,105,166,360,26,1153,110,459,124,140,25,29,31,30,29,52,78,32,474,3374,897,37,559,300,2477,154,138,164,488,144,253,417,220,137,361,597
20,2017,7694,2027,1297,138,186,378,29,1330,165,591,210,159,34,26,34,34,32,61,84,32,458,3684,992,40,597,355,2692,140,134,191,560,163,277,446,231,160,391,654
21,2018,8298,2044,1156,138,212,504,33,1438,185,633,186,176,59,27,38,34,40,72,86,33,502,4124,1219,45,707,467,2905,157,144,206,607,181,291,489,240,153,437,692
22,2019,9305,2193,1245,115,254,545,34,1753,135,778,256,190,71,34,55,44,47,80,89,55,696,4570,1410,50,789,571,3161,172,185,225,648,204,313,524,258,155,478,789
23,2020,9596,2558,1513,126,312,576,31,1787,121,839,283,203,82,31,67,45,51,77,90,59,678,4471,1396,56,795,545,3074,92,194,220,644,219,314,562,166,182,482,780
24,2021,10930,2633,1450,133,360,649,41,2220,307,1003,341,241,95,39,85,48,54,101,91,63,756,5218,1710,68,1039,602,3509,106,215,281,683,249,334,590,326,190,533,858
25,2022,13716,3415,1879,209,457,816,55,2913,388,1359,575,289,105,37,118,64,58,113,65,63,1038,6377,2238,77,1355,806,4139,189,201,369,712,287,386,721,494,181,599,1012
